Connectedness to Nature,High L,Low L,High vs. Low L
4,5.9,4.5,1.4
4.071,6.433,5.1,1.333
3.929,5.633,4.3,1.333
3.929,7.167,5.767,1.4
3,5.1,3.7,1.4
4.071,6.433,6.2,0.233
4.357,6.5,4.033,2.467
4.429,6.1,3.933,2.167
3.714,5.367,5.333,0.033
2.571,5.2,4.567,0.633
3.714,5.633,4.133,1.5
3.571,7.4,5.567,1.833
3.571,5.167,3.933,1.233
3.5,5.133,2.333,2.8
4.143,6.833,4.733,2.1
3.286,6.567,4.9,1.667
3.929,5.433,5.333,0.1
3.857,6.567,5.5,1.067
3.071,5.3,4.633,0.667
3.714,6.333,4.8,1.533
3.429,4.6,3.033,1.567
4.143,7.133,4.8,2.333
3.5,5.8,4.9,0.9
3.929,6.667,7.167,-0.5
3.786,6.233,5,1.233
3.714,6.767,5.6,1.167
3.643,5.467,5.167,0.3
3.786,5.133,4.533,0.6
3.857,5.633,3.333,2.3
4.214,5.367,2.933,2.433
3.214,5.1,4.933,0.167
3.286,5.933,4.8,1.133
2.643,5.6,5.167,0.433
3.786,7.667,6.4,1.267
4.286,6.1,5.267,0.833
3,4.5,3.933,0.567
4.857,7.167,3.7,3.467
2.571,5.333,4.4,0.933
4.143,5.1,3.2,1.9
3.714,7.367,5.867,1.5
4.143,6.133,4.767,1.367
3.429,5.733,4.067,1.667
3.571,6.367,5.367,1
3.357,6.267,5.7,0.567
2.786,4.967,4.833,0.133
3.929,6.4,4.633,1.767
4,6.1,5.233,0.867
3.786,6.267,4.7,1.567
3.357,4.967,5.267,-0.3
3.143,6.233,5.8,0.433
3.643,6.167,4.567,1.6
3.643,5.067,2.833,2.233
3.786,6.7,5.9,0.8
3.286,5.967,5.033,0.933
2.929,5.333,5.067,0.267
3.571,6.4,5.5,0.9
3.429,6.433,5.9,0.533
3.286,5.9,5.4,0.5
3.929,6.367,4.067,2.3
4.286,6.833,5.233,1.6
3.429,5.667,4.233,1.433
3.143,5.533,5.5,0.033
4,5.133,5.533,-0.4
